Parent	Child
mammals	Aussiedoodle
mammals	Aussiedor
mammals	Australian Bulldog
mammals	Australian Cattle Dog
mammals	Australian Kelpie Dog
mammals	Australian Labradoodle
mammals	Australian Mist
mammals	Australian Retriever
mammals	Australian Shepherd
mammals	Australian Terrier
mammals	Aye Aye
mammals	Babirusa
mammals	Baboon
mammals	Bactrian Camel
mammals	Badger
mammals	Baiji
mammals	Baleen Whale
mammals	Balinese
mammals	Balkan Lynx
mammals	Banded Palm Civet
mammals	Bandicoot
mammals	Barbet
mammals	Basenji Dog
mammals	Bassador
mammals	Basset Fauve de Bretagne
mammals	Basset Hound
mammals	Bassetoodle
mammals	Bat
mammals	Bavarian Mountain Hound
mammals	Bea-Tzu
mammals	Beabull
mammals	Beagador
mammals	Beagle
mammals	Beagle Shepherd
mammals	Beaglier
mammals	Beago
mammals	Bear
mammals	Bearded Collie
mammals	Beaski
mammals	Beauceron
mammals	Beaver
mammals	Bedlington Terrier
mammals	Beefalo
mammals	Belgian Shepherd
mammals	Belgian Tervuren
mammals	Bengal Tiger
mammals	Bergamasco
mammals	Berger Picard
mammals	Bernese Mountain Dog
mammals	Bernese Shepherd
mammals	Bichon Frise
mammals	Bichpoo
mammals	Biewer Terrier
mammals	Bighorn Sheep
mammals	Bilby
mammals	Binturong
mammals	Birman
mammals	Bison
mammals	Black And Tan Coonhound
mammals	Black Rhinoceros
mammals	Black Russian Terrier
mammals	Black-Footed Ferret
mammals	Bloodhound
mammals	Blue Lacy Dog
mammals	Blue Picardy Spaniel
mammals	Blue Whale
mammals	Bluetick Coonhound
mammals	Bobcat
mammals	Boggle
mammals	Boglen Terrier
mammals	Bolognese Dog
mammals	Bombay
mammals	Bongo
mammals	Bonobo
mammals	Borador
mammals	Border Collie
mammals	Border Terrier
mammals	Bordoodle
mammals	Borkie
mammals	Bornean Orang-utan
mammals	Borneo Elephant
mammals	Boston Terrier
mammals	Bottlenose Dolphin
mammals	Bouvier Des Flandres
mammals	Bowhead Whale
mammals	Boxador
mammals	Boxer Dog
mammals	Boxerdoodle
mammals	Boxsky
mammals	Boxweiler
mammals	Boykin Spaniel
mammals	Brazilian Terrier
mammals	British Timber
mammals	Brittany
mammals	Brown Bear
mammals	Brown Hyena
mammals	Brug
mammals	Brussels Griffon
mammals	Buffalo
mammals	Bull Terrier
mammals	Bulldog
mammals	Bullmastiff
mammals	Burmese
mammals	Bush Baby
mammals	Cactus Mouse
mammals	Cairn Terrier
mammals	Camel
mammals	Canaan Dog
mammals	Canada Lynx
mammals	Canadian Eskimo Dog
mammals	Canadian Horse
mammals	Cane Corso
mammals	Cape Lion
mammals	Capybara
mammals	Caracal
mammals	Caribou
mammals	Carolina Dog
mammals	Cashmere Goat
mammals	Cat
mammals	Catahoula Leopard
mammals	Catalan Sheepdog
mammals	Cava Tzu
mammals	Cavador
mammals	Cavalier King Charles Spaniel
mammals	Cesky Fousek
mammals	Cesky Terrier
mammals	Chamois
mammals	Chartreux
mammals	Cheagle
mammals	Cheetah
mammals	Chesapeake Bay Retriever
mammals	Chihuahua
mammals	Chimpanzee
mammals	Chinchilla
mammals	Chinese Crested Dog
mammals	Chinese Shar-Pei
mammals	Chinook
mammals	Chipmunk
mammals	Chipoo
mammals	Chiweenie
mammals	Chorkie
mammals	Chow Chow
mammals	Chow Shepherd
mammals	Cinnamon Ferret
mammals	Clouded Leopard
mammals	Clumber Spaniel
mammals	Coati
mammals	Cockalier
mammals	Cocker Spaniel
mammals	Collared Peccary
mammals	Collie
mammals	Corgidor
mammals	Corgipoo
mammals	Corkie
mammals	Corman Shepherd
mammals	Corn Rex Cat (Cornish Rex)
mammals	Coton de Tulear
mammals	Cotton-top Tamarin
mammals	Cougar
mammals	Cow
mammals	Coyote
mammals	Crab-Eating Macaque
mammals	Crabeater Seal
mammals	Cross Fox
mammals	Cross River Gorilla
mammals	Curly Coated Retriever
mammals	Cuscus
mammals	Czechoslovakian Wolfdog
mammals	Dachsador
mammals	Dachshund
mammals	Dalmadoodle
mammals	Dalmador
mammals	Dalmatian
mammals	Dapple Dachshund
mammals	Darwin’s fox
mammals	Deer
mammals	Deer Head Chihuahua
mammals	Deutsche Bracke
mammals	Devon Rex
mammals	Dhole
mammals	Dik-Dik
mammals	Dingo
mammals	Doberman Pinscher
mammals	Dog
mammals	Dogo Argentino
mammals	Dogue De Bordeaux
mammals	Dolphin
mammals	Donkey
mammals	Dorgi
mammals	Dorkie
mammals	Dormouse
mammals	Double Doodle
mammals	Douc
mammals	Doxiepoo
mammals	Doxle
mammals	Drever
mammals	Dugong
mammals	Dunker
mammals	Dusky Dolphin
mammals	Dwarf Hamster
mammals	Eastern Barred Bandicoot
mammals	Eastern Chipmunk
mammals	Eastern Gorilla
mammals	Eastern Lowland Gorilla
mammals	Eastern Woodrat
mammals	Echidna
mammals	Egyptian Mau
mammals	Eland
mammals	Elephant
mammals	Elephant Seal
mammals	Elephant Shrew
mammals	Elk
mammals	Emperor Tamarin
mammals	English Bulldog
mammals	English Cocker Spaniel
mammals	English Cream Golden Retriever
mammals	English Foxhound
mammals	English Pointer
mammals	English Setter
mammals	English Shepherd
mammals	English Springer Spaniel
mammals	Entlebucher Mountain Dog
mammals	Epagneul Pont Audemer
mammals	Ermine
mammals	Eskimo Dog
mammals	Eskipoo
mammals	Estrela Mountain Dog
mammals	Eurasian Beaver
mammals	Eurasian Lynx
mammals	Eurasian Wolf
mammals	European Polecat
mammals	European Wildcat
mammals	Evening Bat
mammals	Fallow deer
mammals	False Killer Whale
mammals	Feist
mammals	Fennec Fox
mammals	Ferret
mammals	Field Spaniel
mammals	Fila Brasileiro
mammals	Fin Whale
mammals	Finnish Spitz
mammals	Fisher Cat
mammals	Fishing Cat
mammals	Flat-Coated Retriever
mammals	Florida Panther
mammals	Flying Lemur
mammals	Flying Squirrel
mammals	Formosan Mountain Dog
mammals	Fossa
mammals	Fox
mammals	Fox Squirrel
mammals	Fox Terrier
mammals	French Bulldog
mammals	Frenchton
mammals	Frengle
mammals	Fruit Bat
mammals	Fur Seal
mammals	Gazelle
mammals	Genet
mammals	Geoffroys Tamarin
mammals	Gerberian Shepsky
mammals	Gerbil
mammals	German Pinscher
mammals	German Shepherd Guide
mammals	German Sheppit
mammals	German Sheprador
mammals	German Shorthaired Pointer
mammals	German Spitz
mammals	Giant Armadillo
mammals	Giant Panda Bear
mammals	Giant Schnauzer
mammals	Giant Schnoodle
mammals	Gibbon
mammals	Giraffe
mammals	Glechon
mammals	Glen Of Imaal Terrier
mammals	Goat
mammals	Goberian
mammals	Goldador
mammals	Golden Dox
mammals	Golden Lion Tamarin
mammals	Golden Newfie
mammals	Golden Pyrenees
mammals	Golden Retriever
mammals	Golden Saint
mammals	Golden Shepherd
mammals	Golden-Crowned Flying Fox
mammals	Goldendoodle
mammals	Gopher
mammals	Gordon Setter
mammals	Gorilla
mammals	Grasshopper Mouse
mammals	Gray Fox
mammals	Great Dane
mammals	Great Danoodle
mammals	Great Pyrenees
mammals	Greater Swiss Mountain Dog
mammals	Greenland Dog
mammals	Grey Mouse Lemur
mammals	Grey Seal
mammals	Greyhound
mammals	Griffonshire
mammals	Grizzly Bear
mammals	Groenendael
mammals	Groundhog (Woodchuck)
mammals	Guinea Pig
mammals	Hamster
mammals	Harbor Seal
mammals	Hare
mammals	Harp Seal
mammals	Harrier
mammals	Havanese
mammals	Havashire
mammals	Hawaiian Monk Seal
mammals	Hedgehog
mammals	Highland Cattle
mammals	Himalayan
mammals	Hippopotamus
mammals	Hoary Bat
mammals	Hokkaido
mammals	Honduran White Bat
mammals	Honey Badger
mammals	Hooded Seal
mammals	Horgi
mammals	Horse
mammals	Howler Monkey
mammals	Human
mammals	Humpback Whale
mammals	Huntaway
mammals	Huskador
mammals	Huskita
mammals	Husky
mammals	Husky Jack
mammals	Huskydoodle
mammals	Hyena
mammals	Ibex
mammals	Ibizan Hound
mammals	Icelandic Sheepdog
mammals	Impala
mammals	Indian Elephant
mammals	Indian Giant Squirrel
mammals	Indian Palm Squirrel
mammals	Indian Rhinoceros
mammals	Indochinese Tiger
mammals	Indri
mammals	Irish Setter
mammals	Irish Terrier
mammals	Irish Water Spaniel
mammals	Irish WolfHound
mammals	Italian Greyhound
mammals	Jack Russell
mammals	Jackabee
mammals	Jackal
mammals	Jackrabbit
mammals	Jaguar
mammals	Jaguarundi Cat
mammals	Japanese Chin
mammals	Japanese Macaque
mammals	Japanese Spitz
mammals	Japanese Squirrel
mammals	Japanese Terrier
mammals	Javan Rhinoceros
mammals	Javanese
mammals	Jerboa
mammals	Kai Ken
mammals	Kangal
mammals	Kangaroo
mammals	Kangaroo Rat
mammals	Keeshond
mammals	Kerry Blue Terrier
mammals	Key Deer
mammals	Kiko Goat
